Name,Category,Where,Age,Nationality,Description,link,Status,Pic_link
Bilal Hadfi,Died in attacks,Stade de France,20 years old,French national (living in Belgium),Hadfi had returned from the Middle East to Belgium. Security officials were aware of him but he managed to slip off their radar.,#,Deceased,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/BilalHadfi.jpg
Unknown,Died in attacks,Stade de France,Unknown,Unknown,Unknown,#,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
"Unknown, previously identifed as Ahmad al-Mohammad",Died in attacks,Stade de France,Unknown,Unknown,"The identity of this suspect is still unknown. Initial reports cited a passport found near the scene of one of the attacks as belonging to Mohammad, tracing his journey into Europe through Greece. However, French authorities later said the passport was a fake.",http://www.ibtimes.com/greek-officials-identify-man-whose-syrian-passport-found-after-stade-de-france-attack-2185332,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
Unknown,Died in attacks,Bataclan concert hall,Unknown,Unknown,Nothing else known yet.,#,Unknown,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
Omar Ismail Mostefai,Died in attacks,Bataclan concert hall,29 years old,French ,Mostefai had a criminal past and was believed to have gone to Syria in 2013. Turkey said it had warned France about Mostefai in the past,http://www.ibtimes.com/paris-terror-attacks-turkey-warned-france-about-omar-ismail-mostefai-requests-not-2186048,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
Samy Amimour,Died in attacks,Bataclan concert hall,28 years old,French,"Amiour grew up in the French city of Drancy and was known to French authorities in 2012. After leaving France for Syria, Amimour's father traveled to Syria to try and convince his son to return home in 2013.",http://qz.com/551316/the-father-of-one-paris-suicide-bomber-had-gone-to-syria-to-stop-him/,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/samy-amimour.jpg
Ibrahim Abdeslam,Died in attacks,Comptoir Voltaire Cafe,31 years old,French national (living in Belgium),Abdeslam was the proprietor of a bar in Brussel's Molenbeek district. Abdeslam's ex-wife told reporters he used drugs and was not interested in world affairs ,http://www.telegraph.co.uk/news/worldnews/europe/france/12002062/Paris-bomber-Ibrahim-Abdeslam-smoked-cannabis-every-day-but-had-no-gripe-with-the-West-says-former-wife.html,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/abdeslam.JPG
Abdelhamid Abaaoud,Planned the attacks,Remains at large,28 years old,Belgian,"He has been described as the mastermind behind the attack. It remains unclear if he is in Europe or Syria. French authorities launched a raid in Saint-Denis Wednesday to try and apprehend him. His own family has said they wished for his death. He had been under surveillance, but authorities at the time said they had no idea he was plotting a major attack ",http://www.ibtimes.com/paris-attacks-mastermind-abdelhamid-abaaoud-was-possible-target-syria-airstrikes-2187484,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/Abaaoud.JPG
Salah Abdeslam,Suspect,Remains at large,26 years old,French national (living in Belgium),French authorities said Abdeslam spent time in Austria and he used his credit card to book a hotel room in Alfortville ahead of the attacks. His brother Ibrahim died in the attacks.,http://www.ibtimes.com/paris-attacks-mastermind-abdelhamid-abaaoud-was-possible-target-syria-airstrikes-2187484,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
Hasna Aitboulahcen (waiting for French authorities confirmation),Died in attacks,Saint-Denis,Unknown,Unknown,Nothing else known yet.,#,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
Man,Died in attacks,Saint-Denis,Unknown,Unknown,Nothing else known yet.,#,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
Eight other people,Arrested,Saint-Denis,Unknown,Unknown,Nothing else known yet.,#,,http://s3-us-west-2.amazonaws.com/ibt-viz/breaking_who_is_template/img/noun_26016_cc-edit.svg
